,mean_absolute_percentage_error_sample,rmspe_sample,mean_absolute_percentage_error,rmspe,lstm_activatation,lstm_nodes,seq_len
0,0.1713903397321701,0.2272620350122451,0.2183072633485882,0.2208412150699666,selu,"[32, 16, 16, 16]",30
1,0.1701045781373977,0.1938050240278244,0.2487941553431905,0.2509075807945942,relu,"[64, 32, 32, 32]",20
2,0.16924074292182922,0.19161105155944824,0.254637772275176,0.2570390232993262,tanh,"[128, 64, 64, 64]",30
3,0.1682982295751571,0.1913006603717804,0.2611791899408467,0.2635673467882659,relu,"[16, 32, 64, 128]",30
4,0.166701078414917,0.1905895620584488,0.2631617362028713,0.2656782455043572,tanh,"[32, 16, 16, 16]",30
5,0.1645776778459549,0.1879037916660308,0.2669852257786127,0.2694452460852827,relu,"[128, 64, 64, 64]",30
6,0.1658210158348083,0.1886815130710601,0.2785760136523303,0.2798676296422294,tanh,"[64, 32, 32, 32]",20
7,0.1778012216091156,0.20609812438488,0.2808844695032339,0.2833149501155848,relu,"[32, 16, 16, 16]",30
8,0.172981321811676,0.1972308605909347,0.2819963594963135,0.2844222009110954,relu,"[64, 32, 32, 32]",30
9,0.1701292842626571,0.1936313807964325,0.2830371852062809,0.2854331277529696,selu,"[128, 64, 64, 64]",30
10,0.1716825515031814,0.1952639073133468,0.2855574136627705,0.2879202148396549,selu,"[16, 32, 64, 128]",30
11,0.179933100938797,0.2037840336561203,0.2873646190997316,0.2897254336069326,tanh,"[64, 32, 32, 32]",30
12,0.1679505109786987,0.1912022829055786,0.2921233327020968,0.2925453387976768,selu,"[128, 64, 64, 64]",10
13,0.1676924228668213,0.1906159818172454,0.2929652342946679,0.2942555663373027,selu,"[128, 64, 64, 64]",20
14,0.1672458052635193,0.1901906430721283,0.2956731208355109,0.2969550274240804,relu,"[32, 16, 16, 16]",20
15,0.1775471419095993,0.2025971114635467,0.2978828606718547,0.300352483085513,selu,"[64, 32, 32, 32]",30
16,0.1712550222873687,0.1942829042673111,0.3001857847854409,0.3014209202108201,relu,"[16, 32, 64, 128]",20
17,0.1676641404628753,0.1911158859729766,0.3016126950699443,0.3028727328645519,selu,"[32, 16, 16, 16]",20
18,0.16456668,0.18796746,0.3020823834072817,0.3024105857683461,selu,"[32, 16, 16, 16]",10
19,0.1640302687883377,0.1878798604011535,0.3032966423721294,0.3037796269735494,relu,"[64, 32, 32, 32]",10
20,0.174080953001976,0.1964579224586486,0.3047312857158973,0.3059566899516224,relu,"[128, 64, 64, 64]",20
21,0.1714945882558822,0.1944251954555511,0.3085346706221178,0.3097869033598059,selu,"[64, 32, 32, 32]",20
22,0.1754007190465927,0.1975884884595871,0.309775786323422,0.311033319429888,tanh,"[128, 64, 64, 64]",20
23,0.1672746539115905,0.1903959959745407,0.315317691236565,0.31579427229118,selu,"[64, 32, 32, 32]",10
24,0.1859370768070221,0.2056648284196853,0.3223130673313854,0.3235222672892721,selu,"[16, 32, 64, 128]",20
25,0.1757382005453109,0.2069257646799087,0.3231985448903854,0.3247382340327067,tanh,"[32, 16, 16, 16]",20
26,0.1638272702693939,0.1874280273914337,0.3254052339156552,0.3258617658189095,relu,"[32, 16, 16, 16]",10
27,0.1662791669368744,0.1900767385959625,0.3273972046661505,0.3278191136938043,tanh,"[64, 32, 32, 32]",10
28,0.1696044504642486,0.1927417814731598,0.3291573272521555,0.3296221606399802,tanh,"[32, 16, 16, 16]",10
29,0.1703714877367019,0.1933016777038574,0.3348319558499752,0.3352531977552271,selu,"[16, 32, 64, 128]",10
30,0.1696802079677581,0.1931708008050918,0.3397548923798696,0.3407116001436548,relu,"[16, 32, 64, 128]",10
31,0.1693706810474395,0.1928411573171615,0.3442196098268242,0.3446346797061581,tanh,"[128, 64, 64, 64]",10
32,0.1725142449140548,0.196863055229187,0.3508190987773734,0.3512550654344396,relu,"[128, 64, 64, 64]",10
