,mean_absolute_percentage_error_sample,rmspe_sample,mean_absolute_percentage_error,rmspe,p,d,q
0,0.0013609578372279,0.0021033295406312,0.002301520748838,0.0026350885816618,3,1,3
1,0.0013609588920998,0.002103339836275,0.0023010239279241,0.0026352679010129,2,1,3
2,0.0013611011493119,0.0021032338286485,0.002301157401084,0.0026352854816935,2,1,4
3,0.001360900595535,0.0021033629800983,0.0023007444229012,0.002635294884103,1,1,1
4,0.0013610917951215,0.0021032342708426,0.0023011634086796,0.0026353188591151,1,1,4
5,0.0013610967515221,0.0021034223246996,0.0023008232997373,0.0026353687129459,1,1,3
6,0.0013613007148331,0.002103170019835,0.0023012873556059,0.0026353930665165,3,1,4
7,0.0013608988774614,0.0021033560901606,0.0023008175311303,0.0026354023259326,2,1,1
8,0.0013609609477097,0.0021033903778745,0.0023011569820977,0.0026357590632433,1,1,2
9,0.001361293279293,0.0021032054595306,0.0023019931596532,0.002635944810636,4,1,3
10,0.0013620119202321836,0.0021030607478503493,0.0023033724697521345,0.0026362773487440313,4,1,4
11,0.0013521576515109,0.0021045956735599,0.0022986116064296,0.0026384694657621,4,1,2
12,0.001352157650905,0.0021045956718151,0.0022983124480847,0.0026385117551782,2,1,2
13,0.0013521576587067,0.0021045956942813,0.0022991068503305,0.0026389968729358,3,1,2
14,0.0013521576531895,0.0021045956783936,0.002298664700616,0.0026396186029964,3,1,1
15,0.001352157648249,0.0021045956641668,0.002298664700616,0.0026396186029964,4,1,1
