,mean_absolute_percentage_error_sample,rmspe_sample,mean_absolute_error_sample,mean_absolute_percentage_error,rmspe,mean_absolute_error,p,d,q
0,0.0013426192964342,0.002087594874047,0.0015863952875421,0.0122830069405185,0.0145917947851269,0.0137089057862574,4,1,2
1,0.0013426192971254,0.0020875948760537,0.0015863952884545,0.0122855580420485,0.0145941273749985,0.0137117088809735,3,1,2
2,0.0013426192928467,0.0020875948636322,0.0015863952828067,0.0122855735314681,0.0145942783313484,0.0137118192142683,2,1,2
3,0.0013513888836963,0.0020862447404871,0.0015967542138545,0.0122846734508875,0.0145952843427699,0.0137115793986112,3,1,3
4,0.0013528235531041185,0.002086197910009316,0.001598518695691281,0.012291055783425854,0.01459710945720611,0.013717948063967705,4,1,4
5,0.0013426192954448,0.0020875948711746,0.0015863952862361,0.0122890939344444,0.0145977132519456,0.0137156524419784,3,1,1
6,0.0013426192919171,0.0020875948609332,0.0015863952815795,0.0122890939344444,0.0145977132519456,0.0137156524419784,4,1,1
7,0.0013514866915056,0.0020862392441061,0.0015968771296267,0.0122907523078992,0.0145996823006558,0.0137178707322119,2,1,4
8,0.0013517149563518,0.0020862056707703,0.0015971650749521,0.0122915756668469,0.0145997679982557,0.0137188105078792,3,1,4
9,0.0013515369477518,0.0020862534492583,0.0015969371130485,0.012291613328537,0.0146002971249032,0.0137188317094264,1,1,4
10,0.0013515526815015,0.0020863136466937,0.0015969427030604,0.0122925860050443,0.0146006413484682,0.0137197645499836,1,1,2
11,0.0013514167978772,0.0020863613402161,0.0015967809523363,0.0122926701194244,0.0146010103325466,0.0137198896751274,1,1,3
12,0.0013513586156137,0.0020862641516877,0.0015967172083123,0.0122922075896303,0.0146016609356615,0.0137193788233944,2,1,3
13,0.0013512941430769,0.0020863411015128,0.0015966385914836,0.0122934629368845,0.0146019370924025,0.0137207856030465,1,1,1
14,0.0013515226908975,0.0020861958727491,0.0015969237778931,0.0122939211016704,0.0146032472986738,0.0137213990896233,4,1,3
15,0.0013512970224474,0.0020863427970006,0.0015966413135925,0.0122967862783474,0.0146052592172817,0.0137244688334076,2,1,1
