,mean_absolute_percentage_error_sample,rmspe_sample,mean_absolute_percentage_error,rmspe,cnn_activatation,cnn_filters,cnn_kernel_size,cnn_pool_size,seq_len
0,0.17633422,0.19799896,0.2226718507588383,0.2250521883072486,tanh,4,2,3,30
1,0.1630784124135971,0.1872947812080383,0.2387342405535895,0.2412117439874734,tanh,8,4,3,30
2,0.1633431762456894,0.1868012696504593,0.2532176732156823,0.255656945391693,tanh,4,8,3,30
3,0.167407751083374,0.1908468753099441,0.2774700054672089,0.279812179700401,tanh,4,4,3,30
4,0.1711959987878799,0.1943054795265197,0.2820296242053834,0.2844197230553912,tanh,16,2,3,30
5,0.1711406707763672,0.1942294389009475,0.2821702507772702,0.2845641418190649,tanh,16,4,3,30
6,0.16995321214199066,0.19326990842819214,0.2827390531203742,0.285115653469175,tanh,16,8,3,30
7,0.1703060418367386,0.1938262283802032,0.2833429256801552,0.2857289266579703,tanh,8,8,3,30
8,0.1703185439109802,0.1938367336988449,0.2833799151626232,0.285773127107597,tanh,8,2,3,30
