,mean_absolute_percentage_error,rmspe,mean_absolute_percentage_error_sample,rmspe_sample,activation,nodes,seq_len
0,0.017253188788890837,0.01951394975185394,0.026821625974090678,0.02706465205249594,selu,"[32, 64]",120
1,0.01762584298849105,0.01984425336122512,0.027094150738315233,0.02733149126045344,relu,"[32, 64]",120
2,0.017507030069828032,0.0197755217552185,0.027135763351021868,0.027375208922746558,selu,"[32, 16]",120
3,0.016919237,0.019275932000000003,0.027468170269293914,0.02770759399315509,tanh,"[32, 16]",120
4,0.01758290231227874,0.01982073783874511,0.027518994124752373,0.02775813340765873,relu,"[128, 64]",120
5,0.01704632341861724,0.01935592293739318,0.02764838273438961,0.027885746331002596,tanh,"[32, 64]",120
6,0.0177219346165657,0.0199896365404129,0.027769680366813397,0.02800961205613387,selu,"[16, 32]",120
7,0.017868322134017938,0.02012305706739425,0.02779238506269998,0.02803232549644607,relu,"[64, 32]",120
8,0.01757829189300537,0.01983872652053833,0.02781944901165308,0.02805961875658733,tanh,"[16, 32]",120
9,0.01710410565137863,0.01944542378187179,0.02788354036489137,0.02812068713286634,relu,"[32, 16]",120
10,0.01724495440721511,0.019595043361186983,0.02789056525749432,0.02813124344165078,selu,"[128, 64]",120
11,0.01751502752304077,0.019797259569168092,0.028072801927345698,0.02831163223384986,tanh,"[64, 32]",120
12,0.017717297375202178,0.02007170021533966,0.02853717146551435,0.028777242789074908,relu,"[16, 32]",120
13,0.017614865303039552,0.01993756294250488,0.028616788886397387,0.02885451441842816,tanh,"[128, 64]",120
14,0.01823661774396896,0.02054643034934997,0.028963327020934286,0.029203463379263876,selu,"[64, 32]",120
