,mean_absolute_percentage_error_sample,rmspe_sample,mean_absolute_percentage_error,rmspe,cnn_activatation,cnn_filters,cnn_kernel_size,cnn_pool_size,seq_len
0,0.1699352711439132,0.1920022219419479,0.2156636767151097,0.218234983502104,relu,8,8,2,30
1,0.1670007407665252,0.1898773461580276,0.2322984039491448,0.2347775049851854,selu,8,8,2,30
2,0.16223905980587,0.1859878599643707,0.2340916412313868,0.2364855151230506,relu,4,8,2,30
3,0.17842063,0.1976333,0.2446064494881156,0.2470323723705542,selu,4,2,2,30
4,0.171158418059349,0.1942136734724044,0.2480162351784351,0.2514134739909198,selu,8,2,2,30
5,0.170161023736,0.1928531378507614,0.2567485219498705,0.2592568223757716,relu,8,2,2,30
6,0.1672602444887161,0.1906407624483108,0.2692451217046754,0.2716571258229226,relu,16,8,2,30
7,0.1637614071369171,0.1872624903917312,0.2738830439033002,0.27627319093317,selu,4,4,2,30
8,0.1685965806245803,0.1922114491462707,0.2772086341857444,0.2796226483723372,selu,16,4,2,30
9,0.1704595983028412,0.1935458928346634,0.2779428706776512,0.2803664310799471,relu,8,4,2,30
10,0.1696218103170395,0.1928443014621734,0.280650305365508,0.2830319215454173,relu,16,4,2,30
11,0.1703961938619613,0.1936121731996536,0.2815039510926785,0.2839010396827174,relu,16,2,2,30
12,0.1744271218776703,0.1979968845844268,0.2831777057992375,0.2856272159591582,selu,4,8,2,30
13,0.1707662045955658,0.1944378763437271,0.2832783315590599,0.28568694454383825,tanh,4,8,2,30
14,0.1706665754318237,0.1943092495203018,0.2833731049299154,0.2857587217907024,selu,8,4,2,30
15,0.1804038435220718,0.2020776867866516,0.2834412128661596,0.2858457277566061,selu,16,8,2,30
16,0.1717725396156311,0.1950916349887848,0.2836461595951146,0.2860453782360281,relu,4,4,2,30
17,0.1777183413505554,0.2018228024244308,0.290478800998617,0.2928843519058838,tanh,4,2,2,30
18,0.1797977536916732,0.2070647478103637,0.291715479943559,0.2941247253787922,selu,16,2,2,30
19,0.1814164519309997,0.2041829079389572,0.2924284649850028,0.2948285760515988,relu,4,2,2,30
20,0.1788619309663772,0.2021851390600204,0.2960747875628684,0.2984571445366509,tanh,4,4,2,30
