Close,roi_10,vol_change_1,impulse,hour_0  -- 0.9341952587202299
Close,roi_5,vol_change_2,impulse,hour_0  -- 0.9341750218537667
Close,vol_change_1,vol_change_3,impulse,hour_0  -- 0.9339478582735219
Close,roi_5,candle_body_size,candle_size,impulse,hour_0  -- 0.9337463754341307
Close,roi_20,candle_body_size,impulse  -- 0.9334634513001779
Close,roi_20,candle_body_size,hour_0  -- 0.9333907364812318
Close,roi_10,candle_size,impulse,hour_0  -- 0.9331516142971985
Close,vol_change_3,candle_size,impulse,hour_0  -- 0.9329212525281168
Close,roi_20,candle_body_size,impulse,hour_0  -- 0.932252253260908
Close,roi_5,vol_change_3  -- 0.9318829655613637
Close,candle_body_size,vol_change_1,vol_change_2  -- 0.9313569338356268
Close,roi_5,roi_10  -- 0.931010925308623
Close,candle_body_size,vol_change_2,candle_size  -- 0.9309861861475082
Close,roi_5,vol_change_3,impulse  -- 0.9307710717229623
Close,roi_5,vol_change_3,hour_0  -- 0.9306070759469782
Close,candle_body_size,vol_change_1,vol_change_2,impulse  -- 0.9302599924868507
Close,candle_body_size,vol_change_1,vol_change_2,hour_0  -- 0.9301476401470359
Close,roi_5,roi_10,impulse  -- 0.92990328767361
Close,roi_5,roi_10,hour_0  -- 0.9298171584268057
Close,candle_body_size,vol_change_2,candle_size,hour_0  -- 0.9297083694277991
Close,candle_body_size,vol_change_2,candle_size,impulse  -- 0.9296457334587376
Close,roi_5,vol_change_3,impulse,hour_0  -- 0.9294990142249542
Close,candle_body_size,vol_change_1,vol_change_2,impulse,hour_0  -- 0.9290535649314328
Close,roi_5,roi_10,impulse,hour_0  -- 0.9287123357346951
Close,candle_body_size,vol_change_2,candle_size,impulse,hour_0  -- 0.9284086764729461
Close,candle_body_size,vol_change_1,vol_change_3  -- 0.9271574642694852
Close,roi_5,candle_body_size,vol_change_2  -- 0.9270925568242597
Close,roi_10,candle_body_size,vol_change_1  -- 0.9270359546939502
Close,roi_10,vol_change_2  -- 0.9265459505709553
Close,candle_body_size,vol_change_3,candle_size  -- 0.9264180293021896
Close,roi_10,candle_body_size,candle_size  -- 0.9262792914727878
Close,candle_body_size,vol_change_1,vol_change_3,impulse  -- 0.9260612067309772
Close,roi_5,candle_body_size,vol_change_2,impulse  -- 0.9260027548967507
Close,roi_10,candle_body_size,vol_change_1,impulse  -- 0.9259274745074815
Close,roi_5,candle_body_size,vol_change_2,hour_0  -- 0.9258928057345154
Close,candle_body_size,vol_change_1,vol_change_3,hour_0  -- 0.925886995059655
Close,roi_10,candle_body_size,vol_change_1,hour_0  -- 0.9258477576166593
Close,vol_change_2,vol_change_3  -- 0.9255612903294581
Close,roi_10,vol_change_2,impulse  -- 0.9254322444595405
Close,roi_10,vol_change_2,hour_0  -- 0.925348834027078
Close,candle_body_size,vol_change_3,candle_size,hour_0  -- 0.9250859571005571
Close,candle_body_size,vol_change_3,candle_size,impulse  -- 0.9250811390980265
Close,roi_10,candle_body_size,candle_size,hour_0  -- 0.9250305710445835
Close,roi_10,candle_body_size,candle_size,impulse  -- 0.9249324015051344
Close,roi_5,candle_body_size,vol_change_2,impulse,hour_0  -- 0.9248058317776883
Close,candle_body_size,vol_change_1,vol_change_3,impulse,hour_0  -- 0.9247945904021541
Close,roi_10,candle_body_size,vol_change_1,impulse,hour_0  -- 0.9247421391247586
Close,vol_change_2,vol_change_3,impulse  -- 0.9244757220265865
Close,vol_change_2,vol_change_3,hour_0  -- 0.9243276627254937
Close,roi_10,vol_change_2,impulse,hour_0  -- 0.9242380378381649
Close,roi_5,vol_change_1,candle_size  -- 0.9239902394628288
Close,candle_body_size,vol_change_3,candle_size,impulse,hour_0  -- 0.9237905576161072
Close,roi_10,candle_body_size,candle_size,impulse,hour_0  -- 0.9237237405276227
Close,vol_change_2,vol_change_3,impulse,hour_0  -- 0.9232452996178889
Close,roi_5,vol_change_1,candle_size,hour_0  -- 0.9227468847677623
Close,roi_5,vol_change_1,candle_size,impulse  -- 0.922660638383476
Close,roi_20,vol_change_1  -- 0.9225726495745765
Close,roi_5,candle_body_size,vol_change_3  -- 0.9225647069406514
Close,roi_10,vol_change_3  -- 0.9220192519660174
Close,roi_20,candle_size  -- 0.9218184092126502
Close,roi_5,roi_10,candle_body_size  -- 0.9216923521764033
Close,roi_5,candle_body_size,vol_change_3,impulse  -- 0.9214775760601015
Close,roi_5,vol_change_1,candle_size,impulse,hour_0  -- 0.9214572436812511
